DateTime,Temperature,Dew Point,Relative Humidity
7/1/2025 19:35,62.6,57.16,82.52
7/1/2025 20:20,62.6,57.16,82.52
7/1/2025 21:05,62.6,57.16,82.52
7/1/2025 21:53,62.06,57.88,86.31
7/1/2025 22:40,62.6,57.16,82.52
7/1/2025 23:25,60.8,57.18,87.94
7/2/2025 0:10,60.8,57.18,87.94
7/2/2025 0:55,60.8,57.18,87.94
7/2/2025 1:45,60.8,57.18,87.94
7/2/2025 2:30,60.8,57.18,87.94
7/2/2025 3:15,60.8,57.18,87.94
7/2/2025 4:00,62.6,57.16,82.52
7/2/2025 4:50,62.6,57.16,82.52
7/2/2025 5:30,62.6,57.16,82.52
7/2/2025 6:15,62.6,57.16,82.52
7/2/2025 7:00,62.6,57.16,82.52
7/2/2025 7:50,62.6,55.35,77.33
7/2/2025 8:30,62.6,55.35,77.33
7/2/2025 9:20,64.4,55.35,72.6
7/2/2025 10:05,66.2,55.35,68.2
7/2/2025 10:53,66.92,55.89,67.84
7/2/2025 11:40,68,55.35,64.1
7/2/2025 12:25,68,55.35,64.1
7/2/2025 13:10,69.8,55.35,60.27
7/2/2025 13:55,68,55.35,64.1
7/2/2025 14:45,69.8,55.35,60.27
7/2/2025 15:30,68,57.15,68.41
7/2/2025 16:15,66.2,57.15,72.78
7/2/2025 17:00,66.2,57.15,72.78
7/2/2025 17:50,66.2,57.15,72.78
7/2/2025 18:35,66.2,57.15,72.78
7/2/2025 19:20,64.4,57.16,77.48
7/2/2025 20:05,64.4,57.16,77.48
7/2/2025 20:53,62.96,57.88,83.62
7/2/2025 21:40,64.4,57.16,77.48
7/2/2025 22:25,62.6,57.16,82.52
7/2/2025 23:05,64.4,58.96,82.65
7/2/2025 23:53,64.04,57.88,80.52
7/3/2025 0:40,62.6,57.16,82.52
7/3/2025 1:20,64.4,57.16,77.48
7/3/2025 2:05,64.4,57.16,77.48
7/3/2025 2:53,64.04,56.98,77.95
7/3/2025 3:40,64.4,57.16,77.48
7/3/2025 4:25,64.4,57.16,77.48
7/3/2025 5:10,64.4,55.35,72.6
7/3/2025 5:55,64.4,55.35,72.6
7/3/2025 6:45,64.4,55.35,72.6
7/3/2025 7:30,64.4,55.35,72.6
7/3/2025 8:13,66.92,55.89,67.84
7/3/2025 8:55,68,55.35,64.1
7/3/2025 9:45,69.8,55.35,60.27
7/3/2025 10:30,71.6,57.16,60.51
7/3/2025 11:15,71.6,57.16,60.51
7/3/2025 12:00,71.6,57.16,60.51
7/3/2025 12:50,71.6,57.16,60.51
7/3/2025 13:35,71.6,57.16,60.51
7/3/2025 14:20,71.6,57.16,60.51
7/3/2025 15:05,71.6,57.16,60.51
7/3/2025 15:53,71.06,57.88,63.24
7/3/2025 16:40,69.8,58.96,68.61
7/3/2025 17:25,69.8,58.96,68.61
7/3/2025 18:10,69.8,58.96,68.61
7/3/2025 18:55,66.2,58.96,77.64
7/3/2025 19:45,66.2,58.96,77.64
7/3/2025 20:25,64.4,58.96,82.65
7/3/2025 21:05,64.4,58.96,82.65
7/3/2025 21:53,64.94,60.04,84.29
7/3/2025 22:40,64.4,58.96,82.65
7/3/2025 23:25,66.2,58.96,77.64
7/4/2025 0:10,66.2,58.96,77.64
7/4/2025 0:55,66.2,60.76,82.77
7/4/2025 1:45,66.2,60.76,82.77
7/4/2025 2:30,66.2,57.15,72.78
7/4/2025 3:15,64.4,57.16,77.48
7/4/2025 4:00,66.2,60.76,82.77
7/4/2025 4:50,64.4,57.16,77.48
7/4/2025 5:35,64.4,57.16,77.48
7/4/2025 6:20,66.2,57.15,72.78
7/4/2025 7:05,66.2,57.15,72.78
7/4/2025 7:53,66.92,58.96,75.73
7/4/2025 8:40,66.2,58.96,77.64
7/4/2025 9:25,69.8,58.96,68.61
7/4/2025 10:05,69.8,58.96,68.61
7/4/2025 10:53,69.98,58.96,68.19
7/4/2025 11:40,71.6,58.96,64.54
7/4/2025 12:25,71.6,58.96,64.54
7/4/2025 13:10,71.6,58.96,64.54
7/4/2025 13:55,71.6,58.96,64.54
7/4/2025 14:45,73.4,60.78,64.76
