Date/Time,Temp.,Dew,Relative,Wind,Wind,Visibility,Weather,Clouds,Sea Level,Station,Altimeter,1 Hour,3 Hour,6 Hour,6 Hr,6 Hr,24 Hr,24 Hr
,,Point,Humidity,Direction,Speed,,,,Pressure,Pressure,Setting,Precip,Precip,Precip,Max,Min,Max,Min
(L),(°F),(°F),(%),,(mph),(miles),,(x100 ft),(mb),(in Hg),(in Hg),(in),(in),(in),(°F),(°F),(°F),(°F)
"Jul 31, 7:53 pm",66,58,75,W,12,10,,FEW008,1015,29.84,29.98,,,,,,,
"Jul 31, 7:50 pm",66,57,73,W,12,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 7:45 pm",66,59,78,WSW,13,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 7:40 pm",66,57,73,W,9,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 7:35 pm",66,57,73,WSW,13,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 7:30 pm",66,57,73,WSW,10,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 7:25 pm",66,57,73,W,13,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 7:20 pm",66,59,78,WSW,12,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 7:15 pm",68,59,73,W,10,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 7:10 pm",68,59,73,WSW,12,10,,FEW008,,29.83,29.97,,,,,,,
"Jul 31, 7:05 pm",68,57,68,W,12,10,,FEW008,,29.83,29.97,,,,,,,
"Jul 31, 7:00 pm",68,57,68,W,13,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 6:55 pm",68,57,68,W,13,10,,FEW008,,29.84,29.98,,,,,,,
"Jul 31, 6:53 pm",68,58,70,W,13,10,,FEW008,1014.9,29.84,29.98,,,,,,,
"Jul 31, 6:50 pm",70,59,69,W,12,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 6:45 pm",70,59,69,W,12,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 6:40 pm",70,59,69,WSW,13,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 6:35 pm",70,61,73,W,12,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 6:30 pm",70,61,73,W,12,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 6:25 pm",70,61,73,WSW,13,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 6:20 pm",70,61,73,W,13,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 6:15 pm",70,61,73,WSW,13,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 6:10 pm",70,61,73,WSW,12,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 6:05 pm",70,61,73,WSW,13,10,,FEW009,,29.82,29.96,,,,,,,
"Jul 31, 6:00 pm",70,61,73,WSW,13,10,,FEW009,,29.82,29.96,,,,,,,
"Jul 31, 5:55 pm",70,61,73,W,13,10,,FEW009,,29.82,29.96,,,,,,,
"Jul 31, 5:53 pm",70,61,73,WSW,13,10,,FEW009,1014.5,29.82,29.96,,,,,,,
"Jul 31, 5:50 pm",70,61,73,WSW,14,10,,FEW009,,29.82,29.96,,,,,,,
"Jul 31, 5:45 pm",70,61,73,WSW,13,10,,FEW009,,29.82,29.96,,,,,,,
"Jul 31, 5:40 pm",70,61,73,WSW,13,10,,FEW009,,29.83,29.97,,,,,,,
"Jul 31, 5:35 pm",70,61,73,WSW,14,10,,FEW009,,29.83,29.97,,,,,,,
